Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene Synonym
ENSG00000160408	9	127885321	127905408	ST6GALNAC6	SIAT7-F
ENSG00000160408	9	127885321	127905408	ST6GALNAC6	SIAT7F
ENSG00000160408	9	127885321	127905408	ST6GALNAC6	ST6GALNACVI
ENSG00000166897	22	37367960	37427479	ELFN2	LRRC62
ENSG00000166897	22	37367960	37427479	ELFN2	PPP1R29
ENSG00000182957	13	23979805	24307074	SPATA13	ARHGEF29
ENSG00000182957	13	23979805	24307074	SPATA13	ASEF2
ENSG00000158427	X	103918896	103966712	TMSB15B	Tbeta15b
ENSG00000269226	X	104063871	104076236	TMSB15B	Tbeta15b
ENSG00000158427	X	103918896	103966712	TMSB15B	TMSB15A
ENSG00000269226	X	104063871	104076236	TMSB15B	TMSB15A
ENSG00000158427	X	103918896	103966712	TMSB15B	TMSL8
ENSG00000269226	X	104063871	104076236	TMSB15B	TMSL8
ENSG00000158427	X	103918896	103966712	TMSB15B	TMSNB
ENSG00000269226	X	104063871	104076236	TMSB15B	TMSNB
ENSG00000274729	CHR_HSCHR8_3_CTG1	7479647	7481569	DEFB105B	BD-5
ENSG00000285015	CHR_HG76_PATCH	7334489	7336403	DEFB105B	BD-5
ENSG00000285411	CHR_HG76_PATCH	12023992	12025826	DEFB105B	BD-5
ENSG00000274729	CHR_HSCHR8_3_CTG1	7479647	7481569	DEFB105B	DEFB-5
ENSG00000285015	CHR_HG76_PATCH	7334489	7336403	DEFB105B	DEFB-5
ENSG00000285411	CHR_HG76_PATCH	12023992	12025826	DEFB105B	DEFB-5
ENSG00000274042	CHR_HSCHR15_5_CTG8	82342783	82349497	GOLGA6L10	GOLGA6L18
ENSG00000274166	CHR_HSCHR15_5_CTG8	82418974	82428498	GOLGA6L10	GOLGA6L18
ENSG00000286237	X	102712495	102753530	ARMCX5-GPRASP2	ARMCX5-GPRASP2-BHLHB9-LINC00630
ENSG00000158301	X	102712445	102717733	GPRASP2	ARMCX5-GPRASP2-BHLHB9-LINC00630
ENSG00000286237	X	102712495	102753530	ARMCX5-GPRASP2	bHLHb9
ENSG00000158301	X	102712445	102717733	GPRASP2	bHLHb9
ENSG00000286237	X	102712495	102753530	ARMCX5-GPRASP2	p60TRP
ENSG00000158301	X	102712445	102717733	GPRASP2	p60TRP
ENSG00000148584	10	50799409	50885675	A1CF	ACF
ENSG00000148584	10	50799409	50885675	A1CF	ACF64
ENSG00000148584	10	50799409	50885675	A1CF	ACF65
ENSG00000148584	10	50799409	50885675	A1CF	APOBEC1CF
ENSG00000148584	10	50799409	50885675	A1CF	ASP
ENSG00000166535	12	8822621	8887001	A2ML1	CPAMD9
ENSG00000166535	12	8822621	8887001	A2ML1	FLJ25179
ENSG00000166535	12	8822621	8887001	A2ML1	p170
ENSG00000128274	22	42692121	42721298	A4GALT	A14GALT
ENSG00000128274	22	42692121	42721298	A4GALT	Gb3S
ENSG00000128274	22	42692121	42721298	A4GALT	P(k)
ENSG00000128274	22	42692121	42721298	A4GALT	P1
ENSG00000114771	3	151814073	151828488	AADAC	CES5A1
ENSG00000114771	3	151814073	151828488	AADAC	DAC
ENSG00000261846	CHR_HSCHR3_1_CTG2_1	151744454	151770036	AADACL2	MGC72001
ENSG00000197953	3	151733916	151761339	AADACL2	MGC72001
ENSG00000109576	4	170060222	170091699	AADAT	KAT2
ENSG00000109576	4	170060222	170091699	AADAT	KATII
ENSG00000109576	4	170060222	170091699	AADAT	KYAT2
ENSG00000129673	17	76453351	76470117	AANAT	SNAT
ENSG00000131043	20	36236131	36270918	AAR2	bA234K24.2
ENSG00000131043	20	36236131	36270918	AAR2	C20orf4
ENSG00000205002	8	116938207	116944487	AARD	C8orf85
ENSG00000205002	8	116938207	116944487	AARD	LOC441376
ENSG00000090861	16	70251983	70289707	AARS1	AARS
ENSG00000090861	16	70251983	70289707	AARS1	AlaRS
ENSG00000090861	16	70251983	70289707	AARS1	CMT2N
ENSG00000124608	6	44298731	44313347	AARS2	AARSL
ENSG00000124608	6	44298731	44313347	AARS2	bA444E17.1
ENSG00000124608	6	44298731	44313347	AARS2	KIAA1270
ENSG00000266967	17	42950526	42964498	AARSD1	AlaXp
ENSG00000266967	17	42950526	42964498	AARSD1	MGC2744
ENSG00000276072	CHR_HSCHR17_7_CTG4	36950708	37058704	AATF	BFR2
ENSG00000276072	CHR_HSCHR17_7_CTG4	36950708	37058704	AATF	CHE-1
ENSG00000276072	CHR_HSCHR17_7_CTG4	36950708	37058704	AATF	CHE1
ENSG00000276072	CHR_HSCHR17_7_CTG4	36950708	37058704	AATF	DED
ENSG00000165029	9	104781006	104928155	ABCA1	ABC1
ENSG00000165029	9	104781006	104928155	ABCA1	HDLDT1
ENSG00000165029	9	104781006	104928155	ABCA1	TGD
ENSG00000167972	16	2275881	2340746	ABCA3	ABC-C
ENSG00000167972	16	2275881	2340746	ABCA3	ABC3
ENSG00000167972	16	2275881	2340746	ABCA3	EST111653
ENSG00000167972	16	2275881	2340746	ABCA3	LBM180
ENSG00000154265	17	69244311	69327244	ABCA5	EST90625
ENSG00000064687	19	1039997	1065572	ABCA7	ABCX
ENSG00000144452	2	214931542	215138626	ABCA12	DKFZP434G232
ENSG00000144452	2	214931542	215138626	ABCA12	ICR2B
ENSG00000144452	2	214931542	215138626	ABCA12	LI2
ENSG00000179869	7	48171458	48647497	ABCA13	FLJ33876
ENSG00000179869	7	48171458	48647497	ABCA13	FLJ33951
ENSG00000131269	X	75051048	75156732	ABCB7	ABC7
ENSG00000131269	X	75051048	75156732	ABCB7	ASAT
ENSG00000131269	X	75051048	75156732	ABCB7	Atm1p
ENSG00000131269	X	75051048	75156732	ABCB7	EST140535
ENSG00000276582	CHR_HSCHR2_1_CTG7_2	168939927	168953422	ABCB11	ABC16
ENSG00000276582	CHR_HSCHR2_1_CTG7_2	168939927	168953422	ABCB11	BSEP
ENSG00000276582	CHR_HSCHR2_1_CTG7_2	168939927	168953422	ABCB11	PFIC-2
ENSG00000276582	CHR_HSCHR2_1_CTG7_2	168939927	168953422	ABCB11	PFIC2
ENSG00000276582	CHR_HSCHR2_1_CTG7_2	168939927	168953422	ABCB11	PGY4
ENSG00000276582	CHR_HSCHR2_1_CTG7_2	168939927	168953422	ABCB11	SPGP
ENSG00000278183	CHR_HSCHR16_1_CTG1	16034690	16228109	ABCC1	GS-X
ENSG00000278183	CHR_HSCHR16_1_CTG1	16034690	16228109	ABCC1	MRP
ENSG00000278183	CHR_HSCHR16_1_CTG1	16034690	16228109	ABCC1	MRP1
ENSG00000023839	10	99782640	99852594	ABCC2	CMOAT
ENSG00000023839	10	99782640	99852594	ABCC2	cMRP
ENSG00000023839	10	99782640	99852594	ABCC2	DJS
ENSG00000023839	10	99782640	99852594	ABCC2	MRP2
ENSG00000108846	17	50634777	50692253	ABCC3	cMOAT2
ENSG00000108846	17	50634777	50692253	ABCC3	EST90757
ENSG00000108846	17	50634777	50692253	ABCC3	MLP2
ENSG00000108846	17	50634777	50692253	ABCC3	MOAT-D
ENSG00000108846	17	50634777	50692253	ABCC3	MRP3
ENSG00000125257	13	95019835	95301475	ABCC4	EST170205
ENSG00000125257	13	95019835	95301475	ABCC4	MOAT-B
ENSG00000125257	13	95019835	95301475	ABCC4	MOATB
ENSG00000125257	13	95019835	95301475	ABCC4	MRP4
ENSG00000275331	CHR_HSCHR16_1_CTG1	16233991	16308660	ABCC6	ARA
ENSG00000275331	CHR_HSCHR16_1_CTG1	16233991	16308660	ABCC6	EST349056
ENSG00000275331	CHR_HSCHR16_1_CTG1	16233991	16308660	ABCC6	MLP1
ENSG00000275331	CHR_HSCHR16_1_CTG1	16233991	16308660	ABCC6	MRP6
ENSG00000275331	CHR_HSCHR16_1_CTG1	16233991	16308660	ABCC6	PXE
ENSG00000275331	CHR_HSCHR16_1_CTG1	16233991	16308660	ABCC6	URG7
ENSG00000124574	6	43427366	43450427	ABCC10	EST182763
ENSG00000124574	6	43427366	43450427	ABCC10	MRP7
ENSG00000124574	6	43427366	43450427	ABCC10	SIMRP7
ENSG00000101986	X	153724856	153744755	ABCD1	adrenoleukodystrophy
ENSG00000101986	X	153724856	153744755	ABCD1	ALD
ENSG00000101986	X	153724856	153744755	ABCD1	ALDP
ENSG00000101986	X	153724856	153744755	ABCD1	AMN
ENSG00000173208	12	39550033	39619803	ABCD2	ALDL1
ENSG00000173208	12	39550033	39619803	ABCD2	ALDR
ENSG00000173208	12	39550033	39619803	ABCD2	ALDRP
ENSG00000117528	1	94418389	94518666	ABCD3	PMP70
ENSG00000117528	1	94418389	94518666	ABCD3	PXMP1
ENSG00000117528	1	94418389	94518666	ABCD3	ZWS2
ENSG00000225989	CHR_HSCHR6_MHC_SSTO_CTG1	30563598	30589402	ABCF1	ABC50
ENSG00000236149	CHR_HSCHR6_MHC_COX_CTG1	30561217	30587022	ABCF1	ABC50
ENSG00000232169	CHR_HSCHR6_MHC_DBB_CTG1	30561610	30587416	ABCF1	ABC50
ENSG00000231129	CHR_HSCHR6_MHC_MANN_CTG1	30616012	30641816	ABCF1	ABC50
ENSG00000236342	CHR_HSCHR6_MHC_MCF_CTG1	30649829	30675633	ABCF1	ABC50
ENSG00000206490	CHR_HSCHR6_MHC_QBL_CTG1	30560870	30586674	ABCF1	ABC50
ENSG00000204574	6	30571393	30597179	ABCF1	ABC50
ENSG00000225989	CHR_HSCHR6_MHC_SSTO_CTG1	30563598	30589402	ABCF1	EST123147
ENSG00000236149	CHR_HSCHR6_MHC_COX_CTG1	30561217	30587022	ABCF1	EST123147
ENSG00000232169	CHR_HSCHR6_MHC_DBB_CTG1	30561610	30587416	ABCF1	EST123147
ENSG00000231129	CHR_HSCHR6_MHC_MANN_CTG1	30616012	30641816	ABCF1	EST123147
ENSG00000236342	CHR_HSCHR6_MHC_MCF_CTG1	30649829	30675633	ABCF1	EST123147
ENSG00000206490	CHR_HSCHR6_MHC_QBL_CTG1	30560870	30586674	ABCF1	EST123147
ENSG00000204574	6	30571393	30597179	ABCF1	EST123147
ENSG00000160179	21	42199689	42297244	ABCG1	ABC8
ENSG00000140526	15	89087459	89202355	ABHD2	LABH2
ENSG00000158201	18	21650901	21704780	ABHD3	LABH3
ENSG00000011198	3	43690108	43734371	ABHD5	CGI-58
ENSG00000011198	3	43690108	43734371	ABHD5	NCIE2
ENSG00000127220	19	17292131	17310236	ABHD8	FLJ11743
ENSG00000127220	19	17292131	17310236	ABHD8	MGC14280
ENSG00000127220	19	17292131	17310236	ABHD8	MGC2512
ENSG00000144827	3	111979010	111993368	ABHD10	FLJ11342
ENSG00000100997	20	25294742	25390835	ABHD12	ABHD12A
ENSG00000100997	20	25294742	25390835	ABHD12	BEM46L2
ENSG00000100997	20	25294742	25390835	ABHD12	C20orf22
ENSG00000100997	20	25294742	25390835	ABHD12	dJ965G21.2
ENSG00000100997	20	25294742	25390835	ABHD12	DKFZP434P106
ENSG00000131969	14	50872053	50904970	ABHD12B	BEM46L3
ENSG00000131969	14	50872053	50904970	ABHD12B	C14orf29
ENSG00000139826	13	108218392	108234243	ABHD13	bA153I24.2
ENSG00000139826	13	108218392	108234243	ABHD13	BEM46L1
ENSG00000139826	13	108218392	108234243	ABHD13	C13orf6
ENSG00000139826	13	108218392	108234243	ABHD13	FLJ14906
ENSG00000231488	CHR_HSCHR6_MHC_DBB_CTG1	31669120	31685587	ABHD16A	BAT5
ENSG00000206403	CHR_HSCHR6_MHC_QBL_CTG1	31677180	31693655	ABHD16A	BAT5
ENSG00000224552	CHR_HSCHR6_MHC_MANN_CTG1	31726403	31742871	ABHD16A	BAT5
ENSG00000236063	CHR_HSCHR6_MHC_MCF_CTG1	31763228	31779696	ABHD16A	BAT5
ENSG00000230475	CHR_HSCHR6_MHC_SSTO_CTG1	31677699	31694178	ABHD16A	BAT5
ENSG00000235676	CHR_HSCHR6_MHC_COX_CTG1	31674358	31690824	ABHD16A	BAT5
ENSG00000204427	6	31686955	31703356	ABHD16A	BAT5
ENSG00000231488	CHR_HSCHR6_MHC_DBB_CTG1	31669120	31685587	ABHD16A	D6S82E
ENSG00000206403	CHR_HSCHR6_MHC_QBL_CTG1	31677180	31693655	ABHD16A	D6S82E
ENSG00000224552	CHR_HSCHR6_MHC_MANN_CTG1	31726403	31742871	ABHD16A	D6S82E
ENSG00000236063	CHR_HSCHR6_MHC_MCF_CTG1	31763228	31779696	ABHD16A	D6S82E
ENSG00000230475	CHR_HSCHR6_MHC_SSTO_CTG1	31677699	31694178	ABHD16A	D6S82E
ENSG00000235676	CHR_HSCHR6_MHC_COX_CTG1	31674358	31690824	ABHD16A	D6S82E
ENSG00000204427	6	31686955	31703356	ABHD16A	D6S82E
ENSG00000231488	CHR_HSCHR6_MHC_DBB_CTG1	31669120	31685587	ABHD16A	NG26
ENSG00000206403	CHR_HSCHR6_MHC_QBL_CTG1	31677180	31693655	ABHD16A	NG26
ENSG00000224552	CHR_HSCHR6_MHC_MANN_CTG1	31726403	31742871	ABHD16A	NG26
ENSG00000236063	CHR_HSCHR6_MHC_MCF_CTG1	31763228	31779696	ABHD16A	NG26
ENSG00000230475	CHR_HSCHR6_MHC_SSTO_CTG1	31677699	31694178	ABHD16A	NG26
ENSG00000235676	CHR_HSCHR6_MHC_COX_CTG1	31674358	31690824	ABHD16A	NG26
ENSG00000204427	6	31686955	31703356	ABHD16A	NG26
ENSG00000183260	20	63861498	63862988	ABHD16B	C20orf135
ENSG00000183260	20	63861498	63862988	ABHD16B	dJ591C20.1
ENSG00000129968	19	1876810	1885496	ABHD17A	C19orf27
ENSG00000129968	19	1876810	1885496	ABHD17A	FAM108A1
ENSG00000129968	19	1876810	1885496	ABHD17A	MGC5244
ENSG00000107362	9	71862452	71911193	ABHD17B	C9orf77
ENSG00000107362	9	71862452	71911193	ABHD17B	CGI-67
ENSG00000107362	9	71862452	71911193	ABHD17B	FAM108B1
ENSG00000136379	15	80679684	80755621	ABHD17C	FAM108C1
ENSG00000136754	10	26746593	26861087	ABI1	ABI-1
ENSG00000136754	10	26746593	26861087	ABI1	E3B1
ENSG00000136754	10	26746593	26861087	ABI1	SSH3BP1
ENSG00000108798	17	49210411	49223225	ABI3	NESH
ENSG00000108798	17	49210411	49223225	ABI3	SSH3BP3
ENSG00000154175	3	100749156	100993515	ABI3BP	DKFZP586L2024
ENSG00000154175	3	100749156	100993515	ABI3BP	NESHBP
ENSG00000154175	3	100749156	100993515	ABI3BP	TARSH
ENSG00000119328	9	108934400	108950744	ABITRAM	C9orf6
ENSG00000119328	9	108934400	108950744	ABITRAM	CG-8
ENSG00000119328	9	108934400	108950744	ABITRAM	FAM206A
ENSG00000119328	9	108934400	108950744	ABITRAM	FLJ20457
ENSG00000119328	9	108934400	108950744	ABITRAM	Simiate
ENSG00000173210	5	149141483	149260542	ABLIM3	KIAA0843
ENSG00000281879	CHR_HG2030_PATCH	133255585	133275349	ABO	A3GALNT
ENSG00000175164	9	133233278	133276024	ABO	A3GALNT
ENSG00000281879	CHR_HG2030_PATCH	133255585	133275349	ABO	A3GALT1
ENSG00000175164	9	133233278	133276024	ABO	A3GALT1
ENSG00000276016	CHR_HSCHR17_3_CTG2	1003519	1116206	ABR	MDB
ENSG00000278741	CHR_HSCHR17_2_CTG2	1003519	1192547	ABR	MDB
ENSG00000174429	8	106759483	106770244	ABRA	STARS
ENSG00000146386	6	139028745	139043302	ABRACL	C6orf115
ENSG00000146386	6	139028745	139043302	ABRACL	Costars
ENSG00000146386	6	139028745	139043302	ABRACL	HSPC280
ENSG00000146386	6	139028745	139043302	ABRACL	PRO2013
ENSG00000165660	10	124801819	124836667	ABRAXAS2	ABRO1
ENSG00000165660	10	124801819	124836667	ABRAXAS2	Em:AC068896.4
ENSG00000165660	10	124801819	124836667	ABRAXAS2	FAM175B
ENSG00000165660	10	124801819	124836667	ABRAXAS2	KIAA0157
ENSG00000146109	6	26596953	26600739	ABT1	Esf2
ENSG00000166016	11	34150987	34358010	ABTB2	ABTB2A
ENSG00000166016	11	34150987	34358010	ABTB2	BTBD22
ENSG00000166016	11	34150987	34358010	ABTB2	DKFZP586C1619
ENSG00000151136	12	107318421	107659642	ABTB3	ABTB2B
ENSG00000151136	12	107318421	107659642	ABTB3	BTBD11
ENSG00000151136	12	107318421	107659642	ABTB3	FLJ33957
ENSG00000060971	3	38103129	38137242	ACAA1	Lnc-Myd88
ENSG00000167315	18	49782164	49813953	ACAA2	DSAEC
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA	ACAC
ENSG00000278540	17	37084992	37406836	ACACA	ACAC
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA	Acac1
ENSG00000278540	17	37084992	37406836	ACACA	Acac1
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA	ACACalpha
ENSG00000278540	17	37084992	37406836	ACACA	ACACalpha
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA	ACC
ENSG00000278540	17	37084992	37406836	ACACA	ACC
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA	ACC-alpha
ENSG00000278540	17	37084992	37406836	ACACA	ACC-alpha
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA	ACC1
ENSG00000278540	17	37084992	37406836	ACACA	ACC1
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA	ACCA
ENSG00000278540	17	37084992	37406836	ACACA	ACCA
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA	ACCalpha
ENSG00000278540	17	37084992	37406836	ACACA	ACCalpha
ENSG00000275176	CHR_HSCHR17_7_CTG4	37086456	37411442	ACACA	hACC1
ENSG00000278540	17	37084992	37406836	ACACA	hACC1
ENSG00000115361	2	210187126	210225447	ACADL	ACAD4
ENSG00000115361	2	210187126	210225447	ACADL	LCAD
ENSG00000196177	10	123008979	123058290	ACADSB	ACAD7
ENSG00000196177	10	123008979	123058290	ACADSB	SBCAD
ENSG00000288169	CHR_HG2087_PATCH	7339566	7354514	ACAP1	CENTB1
ENSG00000072818	17	7336529	7351477	ACAP1	CENTB1
ENSG00000288169	CHR_HG2087_PATCH	7339566	7354514	ACAP1	KIAA0050
ENSG00000072818	17	7336529	7351477	ACAP1	KIAA0050
ENSG00000075239	11	108116695	108147603	ACAT1	ACAT
ENSG00000075239	11	108116695	108147603	ACAT1	THIL
ENSG00000181513	17	45132600	45144181	ACBD4	FLJ13322
ENSG00000107897	10	27168135	27243046	ACBD5	DKFZp434A2417
ENSG00000107897	10	27168135	27243046	ACBD5	KIAA1996
ENSG00000176244	10	15075475	15088776	ACBD7	bA455B2.2
ENSG00000176244	10	15075475	15088776	ACBD7	FLJ38219
ENSG00000159640	17	63477061	63498380	ACE	ACE1
ENSG00000159640	17	63477061	63498380	ACE	CD143
ENSG00000159640	17	63477061	63498380	ACE	DCP1
ENSG00000130234	X	15494566	15607236	ACE2	ACEH
ENSG00000100813	14	23058564	23095614	ACIN1	ACINUS
ENSG00000100813	14	23058564	23095614	ACIN1	fSAP152
ENSG00000100813	14	23058564	23095614	ACIN1	KIAA0670
ENSG00000144476	2	236567787	236582354	ACKR3	CMKOR1
ENSG00000144476	2	236567787	236582354	ACKR3	CXCR7
ENSG00000144476	2	236567787	236582354	ACKR3	GPR159
ENSG00000144476	2	236567787	236582354	ACKR3	RDC1
ENSG00000122729	9	32384603	32454769	ACO1	IREB1
ENSG00000122729	9	32384603	32454769	ACO1	IREBP
ENSG00000122729	9	32384603	32454769	ACO1	IRP1
ENSG00000100412	22	41447830	41529273	ACO2	ACONM
ENSG00000102794	13	76948511	76958638	ACOD1	CAD
ENSG00000102794	13	76948511	76958638	ACOD1	IRG1
ENSG00000101473	20	45841721	45857405	ACOT8	hACTE-III
ENSG00000101473	20	45841721	45857405	ACOT8	hTE
ENSG00000101473	20	45841721	45857405	ACOT8	NAP1
ENSG00000101473	20	45841721	45857405	ACOT8	PTE-2
ENSG00000101473	20	45841721	45857405	ACOT8	PTE1
ENSG00000123130	X	23701055	23766475	ACOT9	ACATE2
ENSG00000123130	X	23701055	23766475	ACOT9	CGI-16
ENSG00000123130	X	23701055	23766475	ACOT9	MT-ACT48
ENSG00000112304	6	24667035	24705065	ACOT13	HT012
ENSG00000112304	6	24667035	24705065	ACOT13	THEM2
ENSG00000168306	3	58505136	58537283	ACOX2	BRCACOX
ENSG00000168306	3	58505136	58537283	ACOX2	BRCOX
ENSG00000168306	3	58505136	58537283	ACOX2	THCCox
ENSG00000142513	19	50790415	50795219	ACP4	ACPT
ENSG00000183760	19	39083913	39111493	ACP7	FLJ16165
ENSG00000183760	19	39083913	39111493	ACP7	PAPL
ENSG00000183760	19	39083913	39111493	ACP7	PAPL1
ENSG00000134940	11	125671522	125680874	ACRV1	D11S4365
ENSG00000134940	11	125671522	125680874	ACRV1	SP-10
ENSG00000134940	11	125671522	125680874	ACRV1	SPACA2
ENSG00000068366	X	109624244	109733403	ACSL4	ACS4
ENSG00000068366	X	109624244	109733403	ACSL4	FACL4
ENSG00000068366	X	109624244	109733403	ACSL4	LACS4
ENSG00000068366	X	109624244	109733403	ACSL4	MRX63
ENSG00000068366	X	109624244	109733403	ACSL4	MRX68
ENSG00000197142	10	112374116	112428379	ACSL5	ACS2
ENSG00000197142	10	112374116	112428379	ACSL5	ACS5
ENSG00000197142	10	112374116	112428379	ACSL5	FACL5
ENSG00000164398	5	131949973	132012243	ACSL6	ACS2
ENSG00000164398	5	131949973	132012243	ACSL6	FACL6
ENSG00000164398	5	131949973	132012243	ACSL6	KIAA0837
ENSG00000164398	5	131949973	132012243	ACSL6	LACS2
ENSG00000164398	5	131949973	132012243	ACSL6	LACS5
ENSG00000154930	20	25006230	25058980	ACSS1	ACAS2L
ENSG00000154930	20	25006230	25058980	ACSS1	AceCS2L
ENSG00000154930	20	25006230	25058980	ACSS1	dJ568C11.3
ENSG00000154930	20	25006230	25058980	ACSS1	MGC33843
ENSG00000131069	20	34872146	34927962	ACSS2	ACAS2
ENSG00000131069	20	34872146	34927962	ACSS2	AceCS
ENSG00000131069	20	34872146	34927962	ACSS2	ACS
ENSG00000131069	20	34872146	34927962	ACSS2	ACSA
ENSG00000131069	20	34872146	34927962	ACSS2	dJ1161H23.1
ENSG00000111058	12	80936414	81261210	ACSS3	FLJ21963
ENSG00000169067	5	57480018	57482811	ACTBL2	DKFZp686D0972
ENSG00000159251	15	34790230	34795549	ACTC1	ACTC
ENSG00000159251	15	34790230	34795549	ACTC1	CMD1R
ENSG00000136518	3	179562886	179588407	ACTL6A	Actl6
ENSG00000136518	3	179562886	179588407	ACTL6A	Arp4
ENSG00000136518	3	179562886	179588407	ACTL6A	BAF53A
ENSG00000136518	3	179562886	179588407	ACTL6A	INO80K
ENSG00000136518	3	179562886	179588407	ACTL6A	SMARCN1
ENSG00000148156	9	108854588	108855986	ACTL7B	Tact1
ENSG00000117148	1	17755333	17827063	ACTL8	CT57
ENSG00000181786	19	8697400	8698795	ACTL9	MGC33407
ENSG00000288649	20	33666943	33668525	ACTL10	C20orf134
ENSG00000282844	CHR_HG26_PATCH	38647649	38731589	ACTN4	FSGS1
ENSG00000138107	10	102461881	102502712	ACTR1A	ARP1
ENSG00000138107	10	102461881	102502712	ACTR1A	Arp1A
ENSG00000115091	2	113890063	113962596	ACTR3	ARP3
ENSG00000133627	7	152759749	152855378	ACTR3B	ARP11
ENSG00000133627	7	152759749	152855378	ACTR3B	ARP3beta
ENSG00000101442	20	38748460	38772520	ACTR5	Arp5
ENSG00000101442	20	38748460	38772520	ACTR5	FLJ12785
ENSG00000101442	20	38748460	38772520	ACTR5	INO80M
ENSG00000131966	14	58200080	58235636	ACTR10	ACTR11
ENSG00000131966	14	58200080	58235636	ACTR10	Arp10
ENSG00000131966	14	58200080	58235636	ACTR10	Arp11
ENSG00000131966	14	58200080	58235636	ACTR10	HARP11
ENSG00000123165	X	128050962	128052403	ACTRT1	AIP1
ENSG00000123165	X	128050962	128052403	ACTRT1	ARIP1
ENSG00000123165	X	128050962	128052403	ACTRT1	Arp-T1
ENSG00000123165	X	128050962	128052403	ACTRT1	KIAA0705
ENSG00000114739	3	38453890	38493142	ACVR2B	ActR-IIB
ENSG00000196839	20	44584896	44652252	ADA	ADA1
ENSG00000093072	22	17178790	17258235	ADA2	ADGF
ENSG00000093072	22	17178790	17258235	ADA2	CECR1
ENSG00000093072	22	17178790	17258235	ADA2	IDGFL
ENSG00000164113	4	122378966	122429802	ADAD1	Tenr
ENSG00000140955	16	84191138	84197168	ADAD2	FLJ00337
ENSG00000140955	16	84191138	84197168	ADAD2	TENRL
ENSG00000276286	CHR_HSCHR8_9_CTG1	39588691	39683242	ADAM2	CT15
ENSG00000104755	8	39743735	39838227	ADAM2	CT15
ENSG00000276286	CHR_HSCHR8_9_CTG1	39588691	39683242	ADAM2	FTNB
ENSG00000104755	8	39743735	39838227	ADAM2	FTNB
